ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID256597507,18 Grimwade Ct,3,h,528000.0,27/05/2017,2.0,1.0,525.0,6.0,-37.6507,145.04681000000005
ID464726065,168 Scotchmer St,3,h,1581000.0,28/05/2016,1.0,0.0,193.0,109.0,-37.7836,144.985
ID857676762,87 Palmerston St,3,h,1263000.0,9/09/2017,1.0,1.0,110.0,139.0,-37.79667,144.97204
ID608833881,24 Mater St,2,h,1025000.0,3/06/2017,2.0,1.0,108.0,14.0,-37.79531,144.9863
ID774776006,27 Vantage Bvd,4,h,800000.0,19/08/2017,2.0,2.0,511.0,6.0,-37.59372000000001,144.89449
ID321731511,7 Park Dr,3,t,680000.0,18/03/2017,2.0,2.0,224.0,21.0,-37.749,144.8599
ID567765214,5 Loeman St,4,h,1270000.0,28/08/2016,2.0,2.0,411.0,23.0,-37.757,144.9251
ID800277999,5 Donal St,3,h,1255000.0,22/04/2017,1.0,2.0,557.0,69.0,-37.9059,145.0733
ID566649058,5/6 Ulupna Rd,2,u,640000.0,27/05/2017,1.0,1.0,0.0,99.0,-37.90323,145.04286000000005
ID764316944,4 Glenroy Rd,2,h,726335.0,27/11/2016,1.0,2.0,590.0,84.0,-37.7072,144.938
ID635602835,69 Willowtree Dr,4,h,410500.0,24/06/2017,2.0,2.0,425.0,59.0,-38.07474000000001,145.45376000000005
ID550379468,6 Berry St,2,h,900000.0,10/12/2016,1.0,0.0,95.0,119.0,-37.8193,144.9976
ID510759690,35 Spring St,4,h,1010000.0,27/05/2017,2.0,2.0,650.0,19.0,-37.73327000000001,144.87482
ID754567665,18 Buckingham St,3,h,900000.0,17/09/2016,3.0,1.0,58.0,10.0,-37.8139,145.0012
ID606790979,7 Thames St,3,h,1100000.0,25/02/2017,1.0,0.0,613.0,94.0,-37.7532,145.0554
ID365617401,3 Hampshire Rd,4,h,1120000.0,17/06/2017,2.0,2.0,280.0,11.0,-37.79423,145.13696000000004
ID671989663,176 Were St,5,h,1562500.0,10/09/2016,2.0,2.0,655.0,94.0,-37.9264,145.0044
ID500608570,6 Chester St,3,h,1360000.0,4/06/2016,2.0,1.0,704.0,79.0,-37.852,145.0942
ID587696224,8 Pearson St,3,h,950000.0,3/06/2017,1.0,0.0,169.0,21.0,-37.8561,144.90028
ID634391893,24 Gadd St,5,h,1351000.0,13/05/2017,3.0,2.0,707.0,64.0,-37.9098,145.097
ID679629667,7/129 Hoddle St,2,u,890500.0,1/07/2017,2.0,2.0,180.0,79.0,-37.81443,144.99079
ID808079238,47 Hoddle St,3,h,1085000.0,27/06/2016,1.0,1.0,325.0,119.0,-37.7525,144.9232
ID950399008,49 Fenwick St,3,h,1680000.0,19/11/2016,2.0,1.0,201.0,14.0,-37.7884,145.0
ID398572654,6 McCully St,3,h,970000.0,30/07/2016,1.0,1.0,194.0,7.0,-37.7756,144.921
ID214269691,8 Ian Av,4,h,800000.0,9/09/2017,2.0,2.0,650.0,59.0,-37.80103,145.25368
ID428651884,12 Shanley St,2,h,740000.0,24/06/2017,1.0,1.0,487.0,79.0,-37.71949,144.94283000000001
ID355382628,8/46 Kororoit Creek Rd,2,u,460000.0,11/03/2017,1.0,1.0,0.0,40.0,-37.8573,144.8854
ID810482518,11/19 Brindisi St,2,u,640000.0,8/07/2017,1.0,1.0,128.0,47.0,-37.98346,145.06313
ID469167705,13 Bernard St,3,h,1600000.0,22/08/2016,2.0,2.0,760.0,10.0,-37.7867,145.0797
ID965673844,4 Long St,3,h,1285000.0,3/06/2017,2.0,3.0,448.0,51.0,-37.86148,144.88303
ID516874524,45 Lyons Rd,3,h,766000.0,12/08/2017,2.0,2.0,507.0,59.0,-37.76572,145.28915
ID780097169,45 Thomson St,3,h,760000.0,8/04/2017,1.0,2.0,584.0,79.0,-37.7858,144.8757
ID337871719,43 Henshall Rd,4,h,1430000.0,16/04/2016,2.0,1.0,607.0,29.0,-37.7376,144.9154
ID390385287,25 Allan St,4,h,875000.0,8/10/2016,1.0,4.0,559.0,54.0,-37.8448,144.8529
ID722432826,39 Hazel Dr,5,h,750000.0,12/11/2016,3.0,4.0,800.0,13.0,-37.7696,145.1078
ID867730728,29 Monash St,2,h,920000.0,24/06/2017,1.0,1.0,575.0,29.0,-37.784459999999996,144.88781
ID751464529,36 Bell St,3,h,1870000.0,27/05/2017,1.0,1.0,271.0,109.0,-37.81816,145.03938
ID938543551,59 Hedderwick St,5,h,2800000.0,8/10/2016,4.0,6.0,877.0,14.0,-37.7491,144.9002
ID886459504,2 Wattletree Ct,5,h,1832000.0,22/07/2017,2.0,2.0,803.0,44.0,-37.87942,145.17668
ID420499285,2 Ormiston St,4,h,1400000.0,23/09/2017,2.0,2.0,664.0,54.0,-37.863009999999996,145.14145
ID986558831,2/6 Pitta Cl,2,u,302500.0,3/06/2017,1.0,2.0,471.0,11.0,-37.88275,144.66661000000005
ID469688766,4 Ada St,3,h,2250000.0,16/04/2016,2.0,2.0,656.0,10.0,-37.841,145.0824
ID234956744,12 Borrie St,3,h,703000.0,18/06/2016,2.0,1.0,597.0,59.0,-37.7066,145.0203
ID754567665,18 Buckingham St,3,h,900000.0,17/09/2016,3.0,1.0,58.0,10.0,-37.8139,145.0012
ID848235372,2/25 Stanlake St,3,t,699000.0,24/09/2016,1.0,1.0,125.0,19.0,-37.7922,144.8831
ID907911231,10/60 Hawthorn Gr,1,u,499000.0,28/05/2016,1.0,1.0,0.0,59.0,-37.8158,145.0342
ID892671867,155 Dendy St,3,h,1400000.0,19/11/2016,2.0,2.0,486.0,19.0,-37.9213,145.0111
ID574663016,2/170 Cecil St,2,h,1000000.0,13/05/2017,1.0,2.0,447.0,119.0,-37.8602,144.8997
ID579587757,8 Jones Ct,3,h,1021000.0,8/04/2017,2.0,2.0,371.0,5.0,-37.7229,144.9055
ID230881426,51 Princess St,4,h,2460000.0,24/09/2016,4.0,2.0,737.0,109.0,-37.8042,145.0291
ID886477822,7 Maidstone St,2,h,1030000.0,27/05/2017,1.0,1.0,743.0,6.0,-37.8732,144.81331
ID699008641,100 Perry St,2,h,1010000.0,22/08/2016,1.0,1.0,285.0,4.0,-37.774,145.0244
ID210526727,9/88 Marshall St,2,u,480000.0,3/09/2016,1.0,1.0,0.0,69.0,-37.77,145.0472
ID884586672,39 Mirls St,4,h,1005000.0,17/06/2017,1.0,1.0,390.0,89.0,-37.84283,144.87958999999995
ID658333134,8 Fulham Cl,3,h,750000.0,26/08/2017,1.0,2.0,698.0,59.0,-38.16624,145.13297
ID670164399,13 Abbott St,3,h,835000.0,17/09/2016,1.0,3.0,459.0,129.0,-37.8255,144.8709
ID144625166,232 Brunswick Rd,3,h,1280000.0,23/09/2017,1.0,2.0,212.0,119.0,-37.77695,144.95785
ID578362580,126 Mills St,2,h,1535000.0,1/07/2017,1.0,0.0,171.0,119.0,-37.8481,144.9566
ID951673445,122 Richardson St,2,h,1725000.0,4/03/2017,1.0,1.0,210.0,129.0,-37.7844,144.972
ID573581621,4 Seventh Av,3,h,770000.0,16/09/2017,1.0,2.0,549.0,119.0,-37.84476,144.8472
ID710444092,4/6 Crefden St,2,u,360000.0,23/04/2016,2.0,1.0,0.0,69.0,-37.7776,144.8723
ID616011056,69 Ford St,3,h,970000.0,8/04/2017,1.0,4.0,459.0,74.0,-37.7639,145.0377
ID145084077,8/49 Patterson St,2,u,702000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.8549,144.9662
ID117841212,522 Waterdale Rd,2,h,526000.0,27/06/2016,1.0,1.0,310.0,25.0,-37.7389,145.0486
ID552401792,9/3 Irving St,2,u,570500.0,4/03/2017,1.0,2.0,0.0,49.0,-37.8597,145.0318
ID710018783,39 Lynch Rd,3,h,751000.0,17/09/2016,6.0,2.0,592.0,59.0,-37.711999999999996,144.9719
ID540747564,3/66 Darebin Bvd,2,u,401000.0,10/12/2016,1.0,1.0,184.0,54.0,-37.7043,145.0277
ID307976209,72 Hunter Rd,3,h,1620000.0,13/05/2017,2.0,2.0,575.0,19.0,-37.8378,145.0909
ID495040883,10 Melville Cl,3,h,678500.0,9/09/2017,1.0,2.0,539.0,44.0,-37.712959999999995,144.82223
ID118929342,50 Hotham Rd,3,h,1015000.0,22/08/2016,1.0,1.0,643.0,69.0,-37.736,144.8839
ID216586703,35 Hunter St,3,h,1287000.0,18/03/2017,1.0,1.0,620.0,14.0,-37.9031,145.0578
ID407274326,4 Pershore Ct,3,h,635000.0,29/07/2017,2.0,1.0,691.0,44.0,-37.68026,144.88468
ID899031466,4 Bess Ct,3,h,620000.0,24/06/2017,1.0,4.0,597.0,49.0,-37.98265,145.22696000000005
ID420868301,8 Blackwood Pde,2,h,686000.0,8/10/2016,1.0,2.0,650.0,59.0,-37.7446,145.0404
ID166677211,37 Roberts St,3,h,891000.0,18/06/2016,3.0,1.0,292.0,21.0,-37.7505,144.8657
ID346278866,24 Fossickers Wy,3,h,826000.0,15/07/2017,2.0,0.0,830.0,44.0,-37.75079,145.20617
ID699008641,100 Perry St,2,h,1010000.0,22/08/2016,1.0,1.0,285.0,4.0,-37.774,145.0244
ID970465752,115 Belford Rd,3,h,1650000.0,16/09/2017,1.0,2.0,650.0,102.0,-37.79235,145.04789
ID713937883,226 Union Rd,5,h,2200000.0,3/09/2016,3.0,2.0,735.0,99.0,-37.8175,145.0987
ID344716308,2/20 Crookston Rd,2,u,352000.0,3/12/2016,1.0,1.0,117.0,7.0,-37.7101,145.0223
ID767384337,202/440 Docklands Dr,4,t,1370000.0,13/08/2016,2.0,2.0,0.0,18.0,-37.8141,144.9387
ID208698713,9/196 The Avenue,1,u,526000.0,30/07/2016,1.0,1.0,0.0,24.0,-37.7829,144.9574
ID856460427,76 East Esplanade,3,h,627000.0,22/07/2017,1.0,3.0,581.0,39.0,-37.73348,144.79564
ID642718929,1/43 Williams Rd,2,u,380000.0,16/07/2016,1.0,1.0,0.0,49.0,-37.8555,145.0018
ID284132434,53 Madeline St,4,h,1920000.0,27/11/2016,2.0,2.0,706.0,8.0,-37.8573,145.0904
ID472872919,159 Cooper St,3,t,650000.0,13/08/2016,2.0,1.0,160.0,34.0,-37.7403,144.8989
ID901890029,11/140 Riversdale Rd,1,u,292000.0,7/11/2016,1.0,0.0,0.0,53.0,-37.8294,145.0382
ID350210105,19 Newry St,3,h,1400000.0,17/06/2017,1.0,0.0,364.0,49.0,-37.85538,145.00013
ID594001898,1/1 Clarendon St,3,t,650000.0,8/07/2017,2.0,2.0,159.0,3.0,-37.78502,144.86733
ID594767064,34 Oamaru St,3,h,1160000.0,16/04/2016,3.0,2.0,425.0,99.0,-37.7684,145.0099
ID390528980,12 Yangoora Pl,4,h,900000.0,29/07/2017,3.0,1.0,807.0,44.0,-37.70077,145.12743
ID606560766,104/13 Wellington St,2,u,575000.0,18/06/2016,2.0,1.0,0.0,6.0,-37.8562,144.9844
ID879918464,3/20 Orange Gr,2,u,416000.0,18/06/2016,1.0,1.0,0.0,59.0,-37.8678,144.9966
ID191916021,13 Hudson St,4,h,1160000.0,18/06/2016,2.0,5.0,371.0,131.0,-37.7436,144.96200000000005
ID306322238,1/99 Spray St,2,u,632000.0,7/11/2016,1.0,1.0,0.0,49.0,-37.8831,144.9855
ID641742125,17/29 Bendall St,3,u,570000.0,11/03/2017,1.0,2.0,0.0,29.0,-37.7897,144.9239
ID244552663,16/43 Arndt Rd,2,u,541000.0,22/07/2017,1.0,1.0,133.0,9.0,-37.72136,144.92932
ID330270706,2/27 Ruffey St,3,u,725000.0,18/06/2016,1.0,1.0,465.0,44.0,-37.7549,145.1185
ID558295096,117 East St,3,h,731000.0,3/06/2017,1.0,2.0,608.0,18.0,-37.70527,144.95084
ID582627479,103 Woodland St,3,h,1550000.0,15/07/2017,1.0,1.0,730.0,39.0,-37.74253,144.91753
ID649793566,23 Gardner St,3,t,1012000.0,27/06/2016,2.0,1.0,80.0,59.0,-37.8155,145.0061
ID542461058,4/6 Riverview Rd,2,u,606000.0,12/11/2016,1.0,2.0,0.0,47.0,-37.7598,144.9128
ID420621925,11 Elphinstone St,3,h,820000.0,12/11/2016,1.0,3.0,440.0,69.0,-37.7937,144.8732
ID848873930,1/119 Melrose Dr,4,h,586000.0,8/07/2017,1.0,3.0,0.0,44.0,-37.70695,144.88513999999995
ID819959179,1A Riverview Ct,4,h,1190000.0,29/04/2017,3.0,2.0,224.0,4.0,-37.7641,144.8885
ID211514147,86 Mills St,3,h,2000000.0,16/04/2016,2.0,1.0,211.0,119.0,-37.847,144.9575
ID276842475,1/10 McComas Gr,2,u,650000.0,11/03/2017,1.0,1.0,194.0,44.0,-37.8509,145.1119
ID988511028,1/455 Albion St,1,u,265000.0,7/05/2016,1.0,1.0,0.0,19.0,-37.7586,144.9452
ID578736142,2/5 Connie St,3,u,870000.0,24/09/2016,2.0,2.0,365.0,8.0,-37.9225,145.0754
ID525899208,3/11 Ormond Rd,2,u,410000.0,26/07/2016,1.0,1.0,0.0,49.0,-37.903,145.0452
ID548681471,44 Challis St,2,h,800000.0,4/03/2017,1.0,1.0,244.0,79.0,-37.846,144.8729
ID742807589,21 Pullar St,3,h,490000.0,4/06/2016,1.0,2.0,306.0,59.0,-37.7838,144.8724
ID283692234,17 Payne St,3,h,586000.0,23/09/2017,1.0,1.0,534.0,59.0,-37.686409999999995,144.88487
ID193671890,6/56 Red Bluff St,2,u,879000.0,17/06/2017,1.0,1.0,0.0,49.0,-37.963409999999996,145.01735
ID671740595,16 Mistletoe Cl,5,h,1070000.0,29/07/2017,2.0,2.0,726.0,39.0,-37.88309,145.24917
ID506866183,2 Osborne Av,3,t,1435000.0,29/07/2017,3.0,2.0,307.0,5.0,-37.91648,145.04927
ID513308661,221/408 Lygon St,1,u,370000.0,15/10/2016,1.0,1.0,0.0,21.0,-37.765,144.9731
ID664403451,27 Connie St,4,h,1255000.0,28/08/2016,2.0,2.0,610.0,69.0,-37.9207,145.0757
ID125755888,4 Blackley Ct,3,h,635000.0,19/08/2017,1.0,2.0,712.0,54.0,-37.761720000000004,144.77265
ID883621313,34 Princess St,3,h,1126000.0,18/03/2017,1.0,0.0,357.0,119.0,-37.8103,144.8962
ID650221691,78/8 Wallen Rd,4,u,1650000.0,15/10/2016,2.0,3.0,207.0,17.0,-37.8271,145.0243
ID911207662,2/56 Banksia St,2,t,595000.0,17/09/2016,1.0,1.0,88.0,69.0,-37.7587,145.0629
ID510045824,40A Gladstone St,3,h,880000.0,3/06/2017,2.0,1.0,229.0,49.0,-37.74524,144.9754
ID325556616,34 Tindales Rd,3,h,400000.0,22/07/2017,2.0,1.0,213.0,4.0,-37.60983,145.03874
ID223379530,55 Keon Pde,2,h,680000.0,9/09/2017,1.0,2.0,576.0,54.0,-37.69573,145.01689
ID872777653,3 Scotch Av,2,t,688000.0,12/08/2017,2.0,1.0,240.0,69.0,-38.00013,145.14673
ID892671867,155 Dendy St,3,h,1400000.0,19/11/2016,2.0,2.0,486.0,19.0,-37.9213,145.0111
ID201243140,10/81 Koornang Rd,2,u,662000.0,17/09/2016,2.0,1.0,0.0,49.0,-37.8873,145.0572
ID230061259,8 Shields St,3,h,560000.0,29/07/2017,2.0,1.0,390.0,12.0,-37.62882000000001,145.00978999999995
ID956806488,39 Moore St,3,h,895000.0,29/04/2017,1.0,2.0,272.0,99.0,-37.7977,144.904
ID845361203,28 Eildon Dr,3,h,745000.0,29/07/2017,1.0,4.0,540.0,39.0,-37.9884,145.15925
ID669568402,46 Coventry Dr,4,h,482500.0,29/07/2017,2.0,0.0,533.0,39.0,-37.893370000000004,144.64003
ID482835108,14 Breadalbane Pl,3,h,1410000.0,20/05/2017,2.0,2.0,315.0,2.0,-37.8496,144.8868
ID598232517,29 Bell St,2,t,1350000.0,8/04/2017,1.0,2.0,6261.0,20.0,-37.799,144.975
ID306466804,33 Walker St,4,h,1400000.0,28/08/2016,2.0,2.0,595.0,119.0,-37.7641,144.9265
ID559565630,2/35 Boisdale St,2,u,825000.0,13/05/2017,1.0,2.0,180.0,49.0,-37.8351,145.10299999999995
ID159396394,60 Wonganella Dr,3,h,680000.0,27/06/2016,1.0,2.0,558.0,39.0,-37.7305,144.8646
ID309862706,118 Somerset St,3,h,1214000.0,6/05/2017,1.0,0.0,176.0,119.0,-37.8162,145.006
ID164210859,79 Chomley St,3,h,1358000.0,10/09/2016,1.0,1.0,189.0,49.0,-37.8561,145.0056
ID337168681,29 Neville St,3,h,1002500.0,26/08/2017,1.0,2.0,560.0,44.0,-37.97738,145.07168000000001
ID474663560,18/408 Lygon St,2,u,400000.0,28/05/2016,1.0,1.0,0.0,79.0,-37.765,144.9731
ID797257433,68 Mawby Rd,3,h,1165000.0,29/04/2017,1.0,2.0,589.0,69.0,-37.9297,145.0563
ID367893120,234 Victoria St,2,h,1026000.0,3/09/2016,1.0,0.0,225.0,114.0,-37.7676,144.9665
ID410376351,5/46 Greeves St,2,u,431000.0,18/06/2016,1.0,1.0,0.0,79.0,-37.8665,144.9833
ID549487950,3/17 Gerald St,2,u,660000.0,17/06/2017,1.0,1.0,109.0,21.0,-37.89578,145.06898999999999
ID949832679,6 Moffatt Cr,3,h,568000.0,23/09/2017,2.0,2.0,700.0,46.0,-37.87695,144.69953
ID354078239,36 Russell St,3,t,1325000.0,3/12/2016,2.0,1.0,302.0,15.0,-37.8289,145.1005
ID628044933,12 Wilfred Rd,2,h,1853000.0,17/06/2017,2.0,2.0,751.0,59.0,-37.775209999999994,145.05426
ID599710678,11 Erinne Ct,5,h,1387000.0,27/05/2017,3.0,3.0,1348.0,14.0,-37.68508,145.1395
ID857478805,65 Fakenham Rd,2,h,1880000.0,3/06/2017,2.0,2.0,627.0,6.0,-37.862359999999995,145.08787
ID903314408,1/77 Lincoln Dr,3,t,745000.0,20/05/2017,2.0,1.0,224.0,54.0,-37.7426,144.868
ID233687093,89 Raglan St,4,h,1502000.0,6/08/2016,1.0,2.0,146.0,139.0,-37.8343,144.9452
ID182795290,12/104 Rowena Pde,1,u,345000.0,7/11/2016,1.0,0.0,0.0,49.0,-37.8211,144.9955
ID684780569,44 William St,5,h,2558000.0,12/08/2017,5.0,2.0,667.0,4.0,-37.88007,145.12328
ID630596969,21/62 Wattletree Rd,2,u,821000.0,12/08/2017,2.0,1.0,3093.0,13.0,-37.86165,145.02148
ID716762892,15 Craig St,3,h,880000.0,10/12/2016,1.0,2.0,584.0,39.0,-37.7435,144.8798
ID319392445,45 Acheron Cr,4,h,850000.0,29/07/2017,2.0,2.0,688.0,14.0,-37.703379999999996,145.1333
ID161093017,32 Killara St,3,h,716000.0,6/05/2017,1.0,1.0,534.0,44.0,-37.7886,144.821
ID316577101,11 Commercial Rd,3,h,930000.0,8/10/2016,1.0,3.0,413.0,69.0,-37.7931,144.893
ID596434001,11 Houston Ct,3,h,892000.0,28/08/2016,1.0,2.0,715.0,5.0,-37.8239,144.8431
ID945229401,42 Junction Rd,6,h,1200000.0,15/07/2017,2.0,2.0,675.0,69.0,-37.807159999999996,145.16504
ID894737994,9/18 Kensington Rd,2,u,693000.0,15/10/2016,1.0,1.0,2122.0,59.0,-37.8383,145.0014
ID393613629,31 Cobden St,3,h,1425000.0,3/09/2017,1.0,3.0,163.0,139.0,-37.804520000000004,144.95718
ID496231921,10 Hastings Ct,3,h,600000.0,16/09/2017,1.0,2.0,555.0,99.0,-37.64417,145.04043000000001
ID508177659,10A Hartley St,3,t,3275000.0,24/06/2017,2.0,3.0,289.0,28.0,-37.92576,144.99233
ID765104778,32a Argyle St,3,t,920000.0,16/04/2016,2.0,1.0,343.0,15.0,-37.9112,145.0738
ID630274331,11 Kerferd St,3,h,1610000.0,18/06/2016,1.0,2.0,569.0,69.0,-37.9419,145.01
ID459352564,347 Mascoma St,4,h,800000.0,18/06/2016,2.0,4.0,556.0,53.0,-37.715,144.8966
ID615776878,23 Overland Dr,4,h,1208000.0,17/06/2017,2.0,2.0,785.0,44.0,-37.86343,145.18542
ID901553011,1/9 Howe St,2,u,770000.0,13/05/2017,1.0,3.0,194.0,79.0,-37.8953,145.0731
ID956394536,301/84 Altona St,2,u,425000.0,27/11/2016,1.0,1.0,0.0,13.0,-37.7966,144.9254
ID723841350,5 Grainger Ct,3,h,1001000.0,29/07/2017,1.0,2.0,727.0,49.0,-37.9128,145.16152
ID951032841,163 Spring St,4,h,790000.0,23/04/2016,2.0,2.0,1090.0,5.0,-37.7243,145.0014
ID604986696,291 George St,2,h,1460000.0,12/11/2016,1.0,0.0,0.0,129.0,-37.8006,144.9814
ID990787112,2/13 Radio St,2,t,600000.0,28/08/2016,2.0,1.0,145.0,7.0,-37.7801,144.869
ID716207992,3 Churchill Gr,3,h,2402500.0,27/05/2017,2.0,2.0,273.0,119.0,-37.81625,145.03789
ID585984374,61 Molden St,3,t,860000.0,26/07/2016,2.0,1.0,210.0,14.0,-37.9075,145.061
ID898221770,6/219 Burke Rd,1,u,328000.0,18/03/2017,1.0,0.0,0.0,20.0,-37.8588,145.0512
ID871711491,117 Francis St,4,h,660000.0,16/04/2016,1.0,2.0,360.0,109.0,-37.8212,144.8887
